Year,Farm_level_cattle,Farm_level_eggs,Farm_level_fruit,Farm_level_milk,Farm_level_soybeans,Farm_level_vegetables,Farm_level_wheat,Finished_consumer_foods,Processed_foods_and_feeds,Unprocessed_foodstuffs_and_feedstuffs,Wholesale_beef,Wholesale_dairy,Wholesale_fats_and_oils,Wholesale_pork,Wholesale_poultry,Wholesale_wheat_flour
1974,-10.2,-3.0,6.3,19.3,-4.7,17.4,33.3,14.0,18.9,5.2,-3.1,11.6,59.4,1.1,-11.3,29.4
1975,-1.7,-0.6,9.5,4.2,-18.4,-8.7,-19.7,8.4,-2.4,1.3,11.1,6.5,-13.1,32.4,17.0,-13.5
1976,-7.1,12.1,1.2,11.6,6.0,-7.7,-13.3,-0.3,-5.1,-0.8,-11.4,8.1,-20.9,-6.2,-9.7,-9.5
1977,2.3,-9.6,11.1,0.8,18.8,3.7,-22.5,5.3,2.8,0.9,0.9,3.0,16.5,-5.6,4.3,-19.6
1978,32.4,-2.1,20.3,8.4,-5.8,7.0,24.3,9.0,6.5,12.6,28.3,8.6,8.5,15.3,12.0,19.1
1979,30.5,11.4,9.0,13.8,8.1,0.5,23.6,9.3,11.4,14.5,24.7,12.2,8.0,-6.5,-2.8,21.5
1980,-2.1,-3.1,2.1,8.5,-0.4,8.9,7.8,5.8,11.6,4.6,3.2,9.2,-6.8,-3.9,2.5,9.1
1981,-4.7,9.4,-3.7,5.9,0.0,26.9,0.2,5.8,-0.9,-0.7,-5.2,6.5,0.3,10.8,0.0,2.2
1982,0.0,-4.5,3.5,-1.7,-14.5,-11.3,-7.8,2.2,-4.4,-3.8,-0.7,1.3,-5.4,15.1,-7.6,-4.4
1983,-3.1,,6.4,-0.2,16.3,1.0,0.7,1.0,3.6,1.8,-3.6,0.7,11.0,-9.4,3.7,1.5
1984,3.7,,0.4,-1.3,2.7,11.8,-4.0,4.4,2.0,2.8,0.3,0.4,26.2,-0.4,11.2,-0.5
1985,-9.3,-18.8,1.2,-4.9,-21.1,-11.9,-9.4,-0.8,-7.9,-9.5,-6.6,-0.9,-10.4,-1.2,-4.2,-1.2
1986,-2.1,4.1,4.4,-2.9,-8.3,-1.7,-12.9,2.6,-1.1,-1.7,-2.4,-0.3,-23.1,12.1,5.8,-5.2
1987,15.1,-12.0,-0.8,1.0,2.2,6.1,-4.6,2.1,3.1,3.2,8.4,1.7,1.5,5.0,-11.4,-1.8
1988,6.5,1.1,1.3,-2.7,41.3,1.6,28.7,2.8,10.4,10.3,6.2,0.6,19.7,-9.4,7.8,13.8
1989,3.9,35.0,-0.3,10.5,-8.4,10.6,16.9,5.4,3.9,4.8,7.4,8.2,-4.4,2.8,7.9,8.4
1990,7.6,-1.7,4.3,2.0,-11.8,1.2,-20.0,4.8,-0.4,1.7,6.5,6.0,6.5,22.6,-5.6,-9.6
1991,-5.5,-5.9,10.0,-11.2,-5.7,-12.1,-9.4,-0.2,-1.9,-6.7,-3.3,-2.2,-6.2,-5.3,-3.3,-6.6
1992,-0.3,-15.0,-35.3,7.4,2.3,10.8,24.1,-0.6,-0.4,-0.4,-2.4,2.9,-2.9,-12.8,-0.8,13.1
1993,1.1,12.5,0.6,-2.1,7.7,17.6,-0.1,1.9,1.8,3.1,3.1,0.2,7.4,6.9,2.5,-0.5
